Data Platform,Physician ID,First Name,Last Name,Gender,Age,Specialty,Years of Experience,Medical School,Board Certification,Referrals per Year
Osan3Alpha,1,James,Smith,M,45,Cardiology,15,Harvard Medical School,American Board of Internal Medicine,44
Osan3Alpha,2,Emily,Davis,F,38,Dermatology,10,Stanford University School of Medicine,American Board of Dermatology,81
Osan3Alpha,3,Michael,Johnson,M,51,Neurosurgery,20,Johns Hopkins University School of Medicine,American Board of Neurological Surgery,43
Osan3Alpha,4,Olivia,Taylor,F,35,Endocrinology,7,University of Pennsylvania Perelman School of Medicine,American Board of Internal Medicine,41
Osan3Alpha,5,David,Wilson,M,46,Orthopedic Surgery,16,University of California School of Medicine in San Francisco,American Board of Orthopaedic Surgery,31
Osan3Alpha,6,Emma,Moore,F,33,Family Medicine,6,Washington University School of Medicine in St. Louis,American Board of Family Medicine,122
Osan3Alpha,7,William,Brown,M,55,Gastroenterology,25,Columbia University Vagelos College of Physicians and Surgeons,American Board of Internal Medicine,384
Osan3Alpha,8,Charlotte,Jackson,F,41,Pediatrics,12,New York University School of Medicine,American Board of Pediatrics,51
Osan3Alpha,9,Benjamin,Harris,M,39,Psychiatry,10,University of Michigan Medical School,American Board of Psychiatry and Neurology,73
Osan3Alpha,10,Sophia,Garcia,F,36,Obstetrics and Gynecology,8,Yale School of Medicine,American Board of Obstetrics and Gynecology,41
Osan3Alpha,11,Noah,Thomas,M,52,Oncology,20,University of Chicago Pritzker School of Medicine,American Board of Internal Medicine,292
Osan3Alpha,12,Isabella,Robinson,F,34,Neurology,7,Duke University School of Medicine,American Board of Psychiatry and Neurology,55
Osan3Alpha,13,Lucas,Young,M,43,Rheumatology,13,University of California David Geffen School of Medicine in Los Angeles,American Board of Internal Medicine,87
Osan3Alpha,14,Ava,Hall,F,40,Nephrology,10,Northwestern University Feinberg School of Medicine,American Board of Internal Medicine,56
Osan3Alpha,15,Liam,Scott,M,49,Urology,18,Vanderbilt University School of Medicine,American Board of Urology,75
Osan3Alpha,16,Mia,Green,F,31,Allergy and Immunology,5,Weill Cornell Medicine,American Board of Allergy and Immunology,74
Osan3Alpha,17,Sebastian,Kelly,M,55,Ophthalmology,24,University of Virginia School of Medicine,American Board of Ophthalmology,47
Osan3Alpha,18,Amelia,Phillips,F,37,Pulmonology,9,Emory University School of Medicine,American Board of Internal Medicine,71
Osan3Alpha,19,Mason,Russell,M,45,Otolaryngology,14,University of Texas Southwestern Medical School,American Board of Otolaryngology,86
Osan3Alpha,20,Zoe,Powell,F,39,Anesthesiology,11,University of Pittsburgh School of Medicine,American Board of Anesthesiology,49
Osan3Alpha,21,Elijah,Martin,M,48,Physical Medicine and Rehabilitation,16,Case Western Reserve University School of Medicine,American Board of Physical Medicine and Rehabilitation,49
Osan3Alpha,22,Luna,White,F,35,Infectious Disease,6,University of Washington School of Medicine,American Board of Internal Medicine,38
Osan3Alpha,23,Aiden,Turner,M,60,Plastic Surgery,28,Baylor College of Medicine,American Board of Plastic Surgery,79
Osan3Alpha,24,Mila,King,F,33,Preventive Medicine,4,University of Colorado School of Medicine,American Board of Preventive Medicine,106
Osan3Alpha,25,Theodore,Anderson,M,53,Radiation Oncology,23,University of Rochester School of Medicine and Dentistry,American Board of Radiology,79
Osan3Alpha,26,Aria,Parker,F,42,Hematology,12,Indiana University School of Medicine,American Board of Internal Medicine,231
Osan3Alpha,27,Luke,Price,M,49,Cardiothoracic Surgery,17,University of Iowa Roy J. and Lucille A. Carver College of Medicine,American Board of Thoracic Surgery,66
Osan3Alpha,28,Leah,Gonzalez,F,38,Critical Care Medicine,10,Ohio State University College of Medicine,American Board of Internal Medicine,60
Osan3Alpha,29,Henry,Hughes,M,56,Colorectal Surgery,26,Tufts University School of Medicine,American Board of Colon and Rectal Surgery,145
Osan3Alpha,30,Nora,George,F,31,Diagnostic Radiology,3,University of California Davis School of Medicine,American Board of Radiology,36
Osan3Alpha,31,Oliver,Murphy,M,42,Podiatry,14,Des Moines University College of Podiatric Medicine and Surgery,American Board of Foot and Ankle Surgery,38
Osan3Alpha,32,Stella,Sullivan,F,47,Vascular Surgery,16,University of California Irvine School of Medicine,American Board of Surgery,804
Osan3Alpha,33,Gabriel,Cook,M,50,Geriatrics,20,Boston University School of Medicine,American Board of Internal Medicine,124
Osan3Alpha,34,Chloe,Graham,F,36,Child and Adolescent Psychiatry,8,University of Southern California Keck School of Medicine,American Board of Psychiatry and Neurology,42
Osan3Alpha,35,Xander,Campbell,M,34,Nuclear Medicine,5,Dartmouth Geisel School of Medicine,American Board of Nuclear Medicine,30
Osan3Alpha,36,Hazel,Kennedy,F,48,Orthodontics,17,Harvard School of Dental Medicine,American Board of Orthodontics,235
Osan3Alpha,37,Christian,Watson,M,57,Maxillofacial Surgery,28,University of Pennsylvania School of Dental Medicine,American Board of Oral and Maxillofacial Surgery,48
